ITEM,EXPORTING COUNTRY,NAME OF MANUFACTURERS,SHIPPER,ARTICLE,CONTENTS OF VIOLATION,QUARANTIN STATION,NAME OF IMPORTERS,CAUSE OF VIOLATION,DISPOSAL OF THE CARGO,REMARKS,Publication day
Wheat,Canada,,"COLUMBIA GRAIN INTERNATIONAL, LLC.",Art.6(ⅰ)　,"generation of mold, decay, nasty smell and deterioration",chiba,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-02-23
Wheat,Canada,,"COLUMBIA GRAIN INTERNATIONAL, LLC.",Art.6(ⅰ)　,"generation of mold, decay, nasty smell and deterioration",chiba,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-02-23
Frozen food served without heating: FROZEN BOILED SALTED SOYBEAN,China,"NEW WORLD(FUZHOU) AGRICULTURE DEVELOPMENT CO.,LTD.",,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-23
Frozen food served without heating: FROZEN SHRIMP TEMPURA,Vietnam,SAO TA FOODS JOINT-STOCK COMPANY,,Art.11(2),violation of compositional standard (enrofloxacin 0.05 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-02-23
Frozen food served without heating: ANKIMO,China,"RONGCHENG EASTERN SEA FOOD CO.,LTD.",,Art.11(2),violation of compositional standard (live bacteria count 7.1×10⁵ /g),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-23
Milled rice,U.S.A.,,"ADM RICE, INC.",Art.6(ⅰ)　,"generation of mold, decay and nasty smell",tokyo,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-02-23
Milled rice,U.S.A.,,"ADM RICE, INC.",Art.6(ⅰ)　,"generation of mold, decay and nasty smell",tokyo,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-02-23
Milled rice,Thailand,,"TANASAN RICE CO.,LTD.",Art.6(ⅰ)　,generation of mold and nasty smell,fukuoka,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-02-23
Implements(poly(methyl methacrylate)：WOOD SPOON,China,,,Art.18(2),"non-conformity with standard for materials（lead 2,467 μg/g detection)",kansai airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-02-23
Frozen food served without heating：FROZEN BOILED POLLACK ROE FLAKE2-NON COLORED,China,"WEIHAI WEIDAO FOOD CO.,LTD.",,Art.11(2),violation of compositional standard (NO2- 0.0073 g/kg detection),tokyo 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-08
Honeycomb,Hungary,FULMER GMBH MAGYARORSZAGI FIOKTELEPE,,Art.11(2),violation of compositional standard (coumaphos 0.02 ppm detection),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-03-08
Non-heating edible meat product：CHORIZO IBERICO SLICING,Spain,"MAFRESA EL IBERICO DE CONFIANZA,S.L.",,Art.11(2),violation of compositional standard (Salmonella spp. positive),tokyo 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-08
Wheat,Canada,,GLENCORE AGRICULTURE PTE LTD.,Art.6(ⅰ)　,"generation of mold, decay and nasty smell",chiba,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-03-08
Frozen food served without heating：SUGAR SNAP PEAS,China,"NANTONG GUANGYUAN QUICKLY FROZEN FOODS CO.,LTD.",,Art.11(2),violation of compositional standard (coliform bacteria positive),kawasaki,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-08
GARLIC POWDER,India,AMBIKA GLOBAL FOODS AND BEVERAGES PVT. LTD,,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (imidacloprid 0.10 ppm　detection)",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-03-08
Fresh cacao beans,Venezuela,,AGROPAMPATAR,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.03 ppm detection）",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-08
Fresh cacao beans,Ghana,,COCOA MARKETING CO. (GH)LTD.,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.07 ppm detection）",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-03-08
Almonds,U.S.A.,,"FRESH PACIFIC FRUIT & VEGETABLES, INC.",Art.6(ⅱ),"aflatoxin (mycotoxin)  58 μg/kg　（B1:51.5 , B2:6.3) detected",fukuoka,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-08
Oolong tea,China,ANXI CHAYE YOUXIAN GONSI,,Art.11(2),violation of compositional standard (fipronil 0.003 ppm detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-08
Dried meat products: IBERICO CEBO SALCHICHON,Spain,"JULIAN MARTIN, S. A.",,Art.11(2),violation of compositional standard (water activity：0.87),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-08
Milled rice,Thailand,,"THANASAN RICE CO.,LTD",Art.6(ⅰ)　,generation of mold and decay,osaka,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-03-08
DRIED MUSHROOM (DONKO),China,"XIXIA YUANCHENG FOODSTUFFS CO.,LTD",,Art.11(2),violation of standard of use (SO₂ 0.033 g/kg detection),naha,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-08
Frozen fresh fish and shellfish for raw consumption：FROZEN ATLANTIC SALMON SLICE,Vietnam,AMANDA FOODS (VIETNAM) LIMITED,,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2018-03-08
Pistachio nuts,U.S.A,,"HORIZON GROWERS COOPERATIVE,INC.",Art.6(ⅱ),"aflatoxin (mycotoxin) 59 μg/kg　（B1:44.5 , B2:3.2 , G1:11.0) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-08
Milled rice,Thailand,,"CAPITAL CEREALS CO.,LTD.",Art.6(ⅰ)　,"generation of mold, decay and nasty smell",kagoshima,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2018-03-08
Biscuit：SWEET COOKIE MAIZENA,Brazil,D.S.TACHIRA,,Art.11(2),violation of standard of use (Sodium Pyrosulfite (as SO₂) 0.046 g/kg detection),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2018-03-08
Cacao beans,Venezuela,,AGROPAMPATAR,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act（2,4-D 0.07 ppm detection）",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-08
Almonds,U.S.A,,"SHOEI FOODS(U.S.A),INC.",Art.6(ⅱ),"aflatoxin (mycotoxin)  57 μg/kg　（B1:51.0 , B2:6.4) detected",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2018-03-08
Frozen food served after heating(other than those heated immediately before freezing)：Tapioca pearl,Taiwan,IBT FOOD LAB,,Art.11(2),violation of compositional standard (live bacteria count 1.7×10⁷ /g）,narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-02-14
Frozen fresh fish and shellfish for raw consumption：FROZEN TROUT TRIM,Chile,CALETA BAY EXPORT LTDA,,Art.11(2),violation of compositional standard (coliform bacteria positive),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-02-14
CORN FLOUR,India,RAMDEV FOOD PRODUCTS PVT.LTD.,,Art.6(ⅱ),"aflatoxin (mycotoxin) ①115 μg/kg、②98 μg/kg　（①B1:106.5, B2:8.6、②B1:90.7, B2:7.4)detected",kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-02-22
Intellectual training toys：JIGSAW PUZZLE,Taiwan,"SHIN MAU WOOD CO.,LTD.",,18(2) (correspondingly by 62(1)),violation of toy or its materials standard(ｌead 2200、3700、150 μg/g detection),moji,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-02-22
Peanuts,U.S.A.,,MCCLESKEY MILLS INC,Art.6(ⅱ),"aflatoxin (mycotoxin)  34 μg/kg　（B1: 31.0, B2: 3.4)detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-02-22
Fresh sesame seed,Ethiopia,,SAYOBRO IMPORT AND EXPORT,Art.6(ⅰ),generation of mold and nasty smell,yokohama,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-02-22
Confectionery,India,HALDIRAM FOODS INTERNATIONAL PVT.LTD.,,Art.10,undesignated additive (TBHQ 1 μg/g detection),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-02-22
Food additive: perlite,U.S.A.,"EP MINERALS,LLC.",,Art.11(2),violation of compositional standard (ignition loss),naha,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-02-22
Mineral water,U.S.A.,ALOHA WATER COMPANY,,Art.11(2),violation of compositional standard(bromic acid 0.049 mg/L detection),yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-02-22
Food additive: powdered cellulose,Germany,JELU-WERK JOSEF EHRLER GMBH & CO.KG,,Art.11(2),violation of compositional standard (starch),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-02-22
Frozen food served without heating: ROASTED KARAFUTO-SHISHAMO,Thailand,"CHOCKSAMUT MARINE CO.,LTD.",,Art.11(2),violation of compositional standard (coliform bacteria positive),kobe,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-02-22
Fresh carrot,China,,"LIANYUNGANG KANGTIAN TRADING CO.,LTD",Art.11(2),violation of compositional standard （ｔhiamethoxam 0.6 ppm detection）,kobe 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-02-22
Cacao beans,Ecuador,,ECOM AGROTRADE LIMITED,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act （2,4-D 0.02 ppm detection）",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-02-22
Barley,Canada,,GLENCORE AGRICULTURE PTE LTD.,Art.6(ⅰ),generation of mold and nasty smell,kobe,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-02-22
Barley,Canada,,GLENCORE AGRICULTURE PTE LTD.,Art.6(ⅰ),generation of mold and nasty smell,kobe,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-02-22
Fresh mushrooms：HED-KRA-DANG（LENTINUS POLY CHROUS）,Thailand,,"NONTHAYA FOODS. , LTD PART.",Art.11(2),violation of compositional standard(chlorpyrifos 0.02 ppm detection),narita airport,,,"we directed abandonment or return of the cargo（the part of quantity has been sold, the rest is kept）",monitoring inspection,2019-02-22
Milled rice,Australia,,RICEGROWERS LIMITED,Art.6(ⅰ),generation of mold and nasty smell,yokohama,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-02-28
Frozen food served after heating(other than those heated immediately before freezing): Shrimp,Vietnam,FIMEX VN,,Art.11(2),violation of compositional standard(enrofloxacin 0.02 ppm detection),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-02-28
Frozen food served without heating: Welsh onion,China,"TAIAN OPTIMUM FOODS TECHNOLOGY CO.,LTD",,Art.11(2),"violation of compositional standard (live bacteria count 2.7 ×10⁵ /g , coliform bacteria positive)",tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-02-28
Chili pepper,China,"QINGDAO SHUNTONG FOODSTUFF CO.,LTD.",,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act （Chlorpropham 0.10 ppm detection）",kobe 2nd section,,,"we directed abandonment or return of the cargo（the part of quantity has been sold, the rest is kept）",monitoring inspection,2019-02-28
Milled rice,Thailand,,THAI CAPITAL CROPS COMPANY LIMITED,Art.6(ⅰ),"generation of mold, deterioration and nasty smell",niigata,,wet damage,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-02-28
Chocolate,Australia,COVENTRY LAFAYETTE PTY LTD,,Art.10,"undesignated additive (azorubine, quinoline yellow detection)",narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-02-28
Chocolate,Australia,COAL RIVER FARM PTY LTD,,Art.10,undesignated additive (quinoline yellow detection),narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-02-28
Cacao beans,Ecuador,,CHOCOLATES FINOS NACIONALES COFINA S.A.,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act （2,4-D 0.10 ppm detection）",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-02-28
Food additive: Benzaldehyde,Switzerland,FIRMENICH SA,,Art.11(2),violation of compositional standard（purity: acid value）,narita airport,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-02-28
Corn flour,Australia,KIALLA PURE FOODS PTY LTD,,Art.6(ⅱ),"aflatoxin (mycotoxin) 36 μg/kg　（B1: 30.0, B2: 3.7, G1: 1.9)detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-02-28
Drink beverageｓ,Spain,"AMC JUICES, S. L.",,Art.11(2),violation of standard of use (use of zinc sulfate in other than target food),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-03-06
Drink beverages,Spain,"AMC JUICES, S. L.",,Art.11(2),violation of standard of use (use of zinc sulfate in other than target food),tokyo,,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-03-06
Almond,U.S.A.,,B＆B MARKETING,Art.6(ⅱ),"aflatoxin (mycotoxin)  19 μg/kg　（B1: 17.3, B2: 1.7)detected",yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-03-06
ROASTED PEANUTS WITH RED SKIN,China,"YANTAI DACHENG FOODSTUFF CO.,LTD.",,Art.6(ⅱ),"aflatoxin (mycotoxin)  43 μg/kg　（B1: 7.0, B2: 1.3, G1: 27.3, G2: 6.9)detected",nagoya,,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-03-06
Frozen food served after heating(other than those heated immediately before freezing)：PLAIN BAGLES,U.S.A.,"SHULLSBURG CREAMERY II, LLC",,Art.11(2),violation of standard of use (calcium propionate (as propionic acid) 2.6 g/kg detection),tokyo 2nd section,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-03-06
Food additive: carrageenan,Philippines,TBK MANUFACTURING CORPORATION,,Art.11(2),violation of compositional standard（purity: sodium）,yokohama,,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-03-06
